Primary_Level_Key,Employment_Level_1_Title,Employment_Level_2_Title,Secondary_Level_Key,Employment_Title,Employment_Code,Employment_Type,Employment_Code_0,Employment_Code_1
43-0000,Office and administrative support occupations,Other office and administrative support workers,43-9000,"Office and administrative support workers, all other",43-9199,Line item,43,9199
43-0000,Office and administrative support occupations,Information and record clerks,43-4000,Brokerage clerks,43-4011,Line item,43,4011
43-0000,Office and administrative support occupations,Information and record clerks,43-4000,Correspondence clerks,43-4021,Line item,43,4021
43-0000,Office and administrative support occupations,Information and record clerks,43-4000,"Court, municipal, and license clerks",43-4031,Line item,43,4031
43-0000,Office and administrative support occupations,Information and record clerks,43-4000,"Credit authorizers, checkers, and clerks",43-4041,Line item,43,4041
43-0000,Office and administrative support occupations,Information and record clerks,43-4000,Customer service representatives,43-4051,Line item,43,4051
43-0000,Office and administrative support occupations,Information and record clerks,43-4000,"Eligibility interviewers, government programs",43-4061,Line item,43,4061
43-0000,Office and administrative support occupations,Information and record clerks,43-4000,File clerks,43-4071,Line item,43,4071
43-0000,Office and administrative support occupations,Information and record clerks,43-4000,"Hotel, motel, and resort desk clerks",43-4081,Line item,43,4081
43-0000,Office and administrative support occupations,Information and record clerks,43-4000,"Interviewers, except eligibility and loan",43-4111,Line item,43,4111
43-0000,Office and administrative support occupations,Information and record clerks,43-4000,"Library assistants, clerical",43-4121,Line item,43,4121
43-0000,Office and administrative support occupations,Information and record clerks,43-4000,Loan interviewers and clerks,43-4131,Line item,43,4131
43-0000,Office and administrative support occupations,Information and record clerks,43-4000,New accounts clerks,43-4141,Line item,43,4141
43-0000,Office and administrative support occupations,Information and record clerks,43-4000,Order clerks,43-4151,Line item,43,4151
43-0000,Office and administrative support occupations,Information and record clerks,43-4000,"Human resources assistants, except payroll and timekeeping",43-4161,Line item,43,4161
43-0000,Office and administrative support occupations,Information and record clerks,43-4000,Receptionists and information clerks,43-4171,Line item,43,4171
43-0000,Office and administrative support occupations,Information and record clerks,43-4000,Reservation and transportation ticket agents and travel clerks,43-4181,Line item,43,4181
43-0000,Office and administrative support occupations,Information and record clerks,43-4000,"Information and record clerks, all other",43-4199,Line item,43,4199
43-0000,Office and administrative support occupations,Secretaries and administrative assistants,43-6000,Executive secretaries and executive administrative assistants,43-6011,Line item,43,6011
43-0000,Office and administrative support occupations,Secretaries and administrative assistants,43-6000,Legal secretaries and administrative assistants,43-6012,Line item,43,6012
43-0000,Office and administrative support occupations,Secretaries and administrative assistants,43-6000,Medical secretaries and administrative assistants,43-6013,Line item,43,6013
43-0000,Office and administrative support occupations,Secretaries and administrative assistants,43-6000,"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Line item,43,6014
43-0000,Office and administrative support occupations,Communications equipment operators,43-2000,"Switchboard operators, including answering service",43-2011,Line item,43,2011
43-0000,Office and administrative support occupations,Communications equipment operators,43-2000,Telephone operators,43-2021,Line item,43,2021
43-0000,Office and administrative support occupations,Communications equipment operators,43-2000,"Communications equipment operators, all other",43-2099,Line item,43,2099
43-0000,Office and administrative support occupations,Financial clerks,43-3000,Bill and account collectors,43-3011,Line item,43,3011
43-0000,Office and administrative support occupations,Financial clerks,43-3000,Billing and posting clerks,43-3021,Line item,43,3021
43-0000,Office and administrative support occupations,Financial clerks,43-3000,"Bookkeeping, accounting, and auditing clerks",43-3031,Line item,43,3031
43-0000,Office and administrative support occupations,Financial clerks,43-3000,Gambling cage workers,43-3041,Line item,43,3041
43-0000,Office and administrative support occupations,Financial clerks,43-3000,Payroll and timekeeping clerks,43-3051,Line item,43,3051
43-0000,Office and administrative support occupations,Financial clerks,43-3000,Procurement clerks,43-3061,Line item,43,3061
43-0000,Office and administrative support occupations,Financial clerks,43-3000,Tellers,43-3071,Line item,43,3071
43-0000,Office and administrative support occupations,Financial clerks,43-3000,"Financial clerks, all other",43-3099,Line item,43,3099
43-0000,Office and administrative support occupations,Supervisors of office and administrative support workers,43-1000,First-line supervisors of office and administrative support workers,43-1011,Line item,43,1011
33-0000,Protective service occupations,Firefighting and prevention workers,33-2000,Firefighters,33-2011,Line item,33,2011
33-0000,Protective service occupations,Firefighting and prevention workers,33-2000,Fire inspectors,33-2020,Summary,33,2020
33-0000,Protective service occupations,Firefighting and prevention workers,33-2000,Fire inspectors and investigators,33-2021,Line item,33,2021
33-0000,Protective service occupations,Firefighting and prevention workers,33-2000,Forest fire inspectors and prevention specialists,33-2022,Line item,33,2022
33-0000,Protective service occupations,Supervisors of protective service workers,33-1000,First-line supervisors of law enforcement workers,33-1010,Summary,33,1010
33-0000,Protective service occupations,Supervisors of protective service workers,33-1000,First-line supervisors of correctional officers,33-1011,Line item,33,1011
33-0000,Protective service occupations,Supervisors of protective service workers,33-1000,First-line supervisors of police and detectives,33-1012,Line item,33,1012
33-0000,Protective service occupations,Supervisors of protective service workers,33-1000,First-line supervisors of firefighting and prevention workers,33-1021,Line item,33,1021
33-0000,Protective service occupations,Supervisors of protective service workers,33-1000,"Miscellaneous first-line supervisors, protective service workers",33-1090,Line item,33,1090
33-0000,Protective service occupations,Other protective service workers,33-9000,Animal control workers,33-9011,Line item,33,9011
33-0000,Protective service occupations,Other protective service workers,33-9000,Private detectives and investigators,33-9021,Line item,33,9021
33-0000,Protective service occupations,Other protective service workers,33-9000,Security guards and gambling surveillance officers,33-9030,Summary,33,9030
33-0000,Protective service occupations,Other protective service workers,33-9000,Gambling surveillance officers and gambling investigators,33-9031,Line item,33,9031
33-0000,Protective service occupations,Other protective service workers,33-9000,Security guards,33-9032,Line item,33,9032
33-0000,Protective service occupations,Other protective service workers,33-9000,Miscellaneous protective service workers,33-9090,Summary,33,9090
33-0000,Protective service occupations,Other protective service workers,33-9000,Crossing guards and flaggers,33-9091,Line item,33,9091
33-0000,Protective service occupations,Other protective service workers,33-9000,"Lifeguards, ski patrol, and other recreational protective service workers",33-9092,Line item,33,9092
33-0000,Protective service occupations,Other protective service workers,33-9000,Transportation security screeners,33-9093,Line item,33,9093
33-0000,Protective service occupations,Other protective service workers,33-9000,"School bus monitors and protective service workers, all other",33-9098,Line item,33,9098
33-0000,Protective service occupations,Law enforcement workers,33-3000,"Bailiffs, correctional officers, and jailers",33-3010,Summary,33,3010
33-0000,Protective service occupations,Law enforcement workers,33-3000,Bailiffs,33-3011,Line item,33,3011
33-0000,Protective service occupations,Law enforcement workers,33-3000,Correctional officers and jailers,33-3012,Line item,33,3012
33-0000,Protective service occupations,Law enforcement workers,33-3000,Detectives and criminal investigators,33-3021,Line item,33,3021
33-0000,Protective service occupations,Law enforcement workers,33-3000,Fish and game wardens,33-3031,Line item,33,3031
33-0000,Protective service occupations,Law enforcement workers,33-3000,Parking enforcement workers,33-3041,Line item,33,3041
33-0000,Protective service occupations,Law enforcement workers,33-3000,Police officers,33-3050,Summary,33,3050
33-0000,Protective service occupations,Law enforcement workers,33-3000,Police and sheriff's patrol officers,33-3051,Line item,33,3051
33-0000,Protective service occupations,Law enforcement workers,33-3000,Transit and railroad police,33-3052,Line item,33,3052
21-0000,Community and social service occupations,"Counselors, social workers, and other community and social service specialists",21-1000,Counselors,21-1010,Summary,21,1010
21-0000,Community and social service occupations,"Counselors, social workers, and other community and social service specialists",21-1000,"Educational, guidance, and career counselors and advisors",21-1012,Line item,21,1012
21-0000,Community and social service occupations,"Counselors, social workers, and other community and social service specialists",21-1000,Marriage and family therapists,21-1013,Line item,21,1013
21-0000,Community and social service occupations,"Counselors, social workers, and other community and social service specialists",21-1000,Rehabilitation counselors,21-1015,Line item,21,1015
21-0000,Community and social service occupations,"Counselors, social workers, and other community and social service specialists",21-1000,"Substance abuse, behavioral disorder, and mental health counselors",21-1018,Line item,21,1018
21-0000,Community and social service occupations,"Counselors, social workers, and other community and social service specialists",21-1000,"Counselors, all other",21-1019,Line item,21,1019
21-0000,Community and social service occupations,"Counselors, social workers, and other community and social service specialists",21-1000,Social workers,21-1020,Summary,21,1020
21-0000,Community and social service occupations,"Counselors, social workers, and other community and social service specialists",21-1000,"Child, family, and school social workers",21-1021,Line item,21,1021
21-0000,Community and social service occupations,"Counselors, social workers, and other community and social service specialists",21-1000,Healthcare social workers,21-1022,Line item,21,1022
21-0000,Community and social service occupations,"Counselors, social workers, and other community and social service specialists",21-1000,Mental health and substance abuse social workers,21-1023,Line item,21,1023
21-0000,Community and social service occupations,"Counselors, social workers, and other community and social service specialists",21-1000,"Social workers, all other",21-1029,Line item,21,1029
21-0000,Community and social service occupations,"Counselors, social workers, and other community and social service specialists",21-1000,Miscellaneous community and social service specialists,21-1090,Summary,21,1090
21-0000,Community and social service occupations,"Counselors, social workers, and other community and social service specialists",21-1000,Health education specialists,21-1091,Line item,21,1091
21-0000,Community and social service occupations,"Counselors, social workers, and other community and social service specialists",21-1000,Probation officers and correctional treatment specialists,21-1092,Line item,21,1092
21-0000,Community and social service occupations,"Counselors, social workers, and other community and social service specialists",21-1000,Social and human service assistants,21-1093,Line item,21,1093
21-0000,Community and social service occupations,"Counselors, social workers, and other community and social service specialists",21-1000,Community health workers,21-1094,Line item,21,1094
21-0000,Community and social service occupations,"Counselors, social workers, and other community and social service specialists",21-1000,"Community and social service specialists, all other",21-1099,Line item,21,1099
21-0000,Community and social service occupations,Religious workers,21-2000,Clergy,21-2011,Line item,21,2011
21-0000,Community and social service occupations,Religious workers,21-2000,"Directors, religious activities and education",21-2021,Line item,21,2021
21-0000,Community and social service occupations,Religious workers,21-2000,"Religious workers, all other",21-2099,Line item,21,2099
25-0000,Educational instruction and library occupations,Other teachers and instructors,25-3000,"Adult basic education, adult secondary education, and English as a Second Language instructors",25-3011,Line item,25,3011
25-0000,Educational instruction and library occupations,Other teachers and instructors,25-3000,Self-enrichment teachers,25-3021,Line item,25,3021
25-0000,Educational instruction and library occupations,Other teachers and instructors,25-3000,"Substitute teachers, short-term",25-3031,Line item,25,3031
25-0000,Educational instruction and library occupations,Other teachers and instructors,25-3000,"Tutors and teachers and instructors, all other",25-3097,Line item,25,3097
25-0000,Educational instruction and library occupations,"Librarians, curators, and archivists",25-4000,"Archivists, curators, and museum technicians",25-4010,Summary,25,4010
25-0000,Educational instruction and library occupations,"Librarians, curators, and archivists",25-4000,Archivists,25-4011,Line item,25,4011
25-0000,Educational instruction and library occupations,"Librarians, curators, and archivists",25-4000,Curators,25-4012,Line item,25,4012
25-0000,Educational instruction and library occupations,"Librarians, curators, and archivists",25-4000,Museum technicians and conservators,25-4013,Line item,25,4013
25-0000,Educational instruction and library occupations,"Librarians, curators, and archivists",25-4000,Librarians and media collections specialists,25-4022,Line item,25,4022
25-0000,Educational instruction and library occupations,"Librarians, curators, and archivists",25-4000,Library technicians,25-4031,Line item,25,4031
25-0000,Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers",25-2000,Preschool and kindergarten teachers,25-2010,Summary,25,2010
25-0000,Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers",25-2000,"Preschool teachers, except special education",25-2011,Line item,25,2011
25-0000,Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers",25-2000,"Kindergarten teachers, except special education",25-2012,Line item,25,2012
25-0000,Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers",25-2000,Elementary and middle school teachers,25-2020,Summary,25,2020
25-0000,Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers",25-2000,"Elementary school teachers, except special education",25-2021,Line item,25,2021
25-0000,Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers",25-2000,"Middle school teachers, except special and career/technical education",25-2022,Line item,25,2022
25-0000,Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers",25-2000,"Career/technical education teachers, middle school",25-2023,Line item,25,2023
25-0000,Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers",25-2000,Secondary school teachers,25-2030,Summary,25,2030
25-0000,Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers",25-2000,"Secondary school teachers, except special and career/technical education",25-2031,Line item,25,2031
25-0000,Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers",25-2000,"Career/technical education teachers, secondary school",25-2032,Line item,25,2032
25-0000,Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers",25-2000,Special education teachers,25-2050,Summary,25,2050
25-0000,Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers",25-2000,"Special education teachers, preschool",25-2051,Line item,25,2051
25-0000,Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers",25-2000,"Special education teachers, kindergarten and elementary school",25-2052,Line item,25,2052
25-0000,Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers",25-2000,"Special education teachers, middle school",25-2057,Line item,25,2057
25-0000,Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers",25-2000,"Special education teachers, secondary school",25-2058,Line item,25,2058
25-0000,Educational instruction and library occupations,"Preschool, elementary, middle, secondary, and special education teachers",25-2000,"Special education teachers, all other",25-2059,Line item,25,2059
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Business teachers, postsecondary",25-1011,Line item,25,1011
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Math and computer science teachers, postsecondary",25-1020,Summary,25,1020
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Computer science teachers, postsecondary",25-1021,Line item,25,1021
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Mathematical science teachers, postsecondary",25-1022,Line item,25,1022
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Engineering and architecture teachers, postsecondary",25-1030,Summary,25,1030
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Architecture teachers, postsecondary",25-1031,Line item,25,1031
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Engineering teachers, postsecondary",25-1032,Line item,25,1032
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Life sciences teachers, postsecondary",25-1040,Summary,25,1040
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Agricultural sciences teachers, postsecondary",25-1041,Line item,25,1041
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Biological science teachers, postsecondary",25-1042,Line item,25,1042
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Forestry and conservation science teachers, postsecondary",25-1043,Line item,25,1043
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Physical sciences teachers, postsecondary",25-1050,Summary,25,1050
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,Line item,25,1051
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Chemistry teachers, postsecondary",25-1052,Line item,25,1052
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Environmental science teachers, postsecondary",25-1053,Line item,25,1053
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Physics teachers, postsecondary",25-1054,Line item,25,1054
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Social sciences teachers, postsecondary",25-1060,Summary,25,1060
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Anthropology and archeology teachers, postsecondary",25-1061,Line item,25,1061
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Area, ethnic, and cultural studies teachers, postsecondary",25-1062,Line item,25,1062
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Economics teachers, postsecondary",25-1063,Line item,25,1063
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Geography teachers, postsecondary",25-1064,Line item,25,1064
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Political science teachers, postsecondary",25-1065,Line item,25,1065
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Psychology teachers, postsecondary",25-1066,Line item,25,1066
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Sociology teachers, postsecondary",25-1067,Line item,25,1067
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Social sciences teachers, postsecondary, all other",25-1069,Line item,25,1069
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Health teachers, postsecondary",25-1070,Summary,25,1070
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Health specialties teachers, postsecondary",25-1071,Line item,25,1071
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Nursing instructors and teachers, postsecondary",25-1072,Line item,25,1072
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Education and library science teachers, postsecondary",25-1080,Summary,25,1080
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Education teachers, postsecondary",25-1081,Line item,25,1081
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Library science teachers, postsecondary",25-1082,Line item,25,1082
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Law, criminal justice, and social work teachers, postsecondary",25-1110,Summary,25,1110
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Criminal justice and law enforcement teachers, postsecondary",25-1111,Line item,25,1111
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Law teachers, postsecondary",25-1112,Line item,25,1112
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Social work teachers, postsecondary",25-1113,Line item,25,1113
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Arts, communications, history, and humanities teachers, postsecondary",25-1120,Summary,25,1120
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Art, drama, and music teachers, postsecondary",25-1121,Line item,25,1121
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Communications teachers, postsecondary",25-1122,Line item,25,1122
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"English language and literature teachers, postsecondary",25-1123,Line item,25,1123
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Foreign language and literature teachers, postsecondary",25-1124,Line item,25,1124
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"History teachers, postsecondary",25-1125,Line item,25,1125
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Philosophy and religion teachers, postsecondary",25-1126,Line item,25,1126
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,Miscellaneous postsecondary teachers,25-1190,Summary,25,1190
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Family and consumer sciences teachers, postsecondary",25-1192,Line item,25,1192
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Recreation and fitness studies teachers, postsecondary",25-1193,Line item,25,1193
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Career/technical education teachers, postsecondary",25-1194,Line item,25,1194
25-0000,Educational instruction and library occupations,Postsecondary teachers,25-1000,"Postsecondary teachers, all other",25-1199,Line item,25,1199
25-0000,Educational instruction and library occupations,Other educational instruction and library occupations,25-9000,Farm and home management educators,25-9021,Line item,25,9021
25-0000,Educational instruction and library occupations,Other educational instruction and library occupations,25-9000,Instructional coordinators,25-9031,Line item,25,9031
25-0000,Educational instruction and library occupations,Other educational instruction and library occupations,25-9000,Teaching assistants,25-9040,Summary,25,9040
25-0000,Educational instruction and library occupations,Other educational instruction and library occupations,25-9000,"Teaching assistants, postsecondary",25-9044,Line item,25,9044
25-0000,Educational instruction and library occupations,Other educational instruction and library occupations,25-9000,"Teaching assistants, except postsecondary",25-9045,Line item,25,9045
25-0000,Educational instruction and library occupations,Other educational instruction and library occupations,25-9000,"Educational instruction and library workers, all other",25-9099,Line item,25,9099
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Accountants and auditors,13-2011,Line item,13,2011
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Property appraisers and assessors,13-2020,Line item,13,2020
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Budget analysts,13-2031,Line item,13,2031
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Credit analysts,13-2041,Line item,13,2041
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Personal financial advisors,13-2052,Line item,13,2052
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Insurance underwriters,13-2053,Line item,13,2053
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Financial examiners,13-2061,Line item,13,2061
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Credit counselors and loan officers,13-2070,Summary,13,2070
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Credit counselors,13-2071,Line item,13,2071
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Loan officers,13-2072,Line item,13,2072
13-0000,Business and financial operations occupations,Financial specialists,13-2000,"Tax examiners, collectors and preparers, and revenue agents",13-2080,Summary,13,2080
13-0000,Business and financial operations occupations,Financial specialists,13-2000,"Tax examiners and collectors, and revenue agents",13-2081,Line item,13,2081
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Tax preparers,13-2082,Line item,13,2082
13-0000,Business and financial operations occupations,Financial specialists,13-2000,"Financial and investment analysts, financial risk specialists, and financial specialists, all other",13-2098,Line item,13,2098
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Computer occupations,15-1200,Summary,15,1200
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Computer and information analysts,15-1210,Summary,15,1210
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Computer systems analysts,15-1211,Line item,15,1211
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Information security analysts,15-1212,Line item,15,1212
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Computer and information research scientists,15-1221,Line item,15,1221
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Computer support specialists,15-1230,Summary,15,1230
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Computer network support specialists,15-1231,Line item,15,1231
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Computer user support specialists,15-1232,Line item,15,1232
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Database and network administrators and architects,15-1240,Summary,15,1240
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Computer network architects,15-1241,Line item,15,1241
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Network and computer systems administrators,15-1244,Line item,15,1244
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Database administrators and architects,15-1245,Line item,15,1245
13-0000,Business and financial operations occupations,Financial specialists,13-2000,"Software and web developers, programmers, and testers",15-1250,Summary,15,1250
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Computer programmers,15-1251,Line item,15,1251
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Software developers and software quality assurance analysts and testers,15-1256,Line item,15,1256
13-0000,Business and financial operations occupations,Financial specialists,13-2000,Web developers and digital interface designers,15-1257,Line item,15,1257
13-0000,Business and financial operations occupations,Financial specialists,13-2000,"Computer occupations, all other",15-1299,Line item,15,1299
13-0000,Business and financial operations occupations,Business operations specialists,13-1000,"Agents and business managers of artists, performers, and athletes",13-1011,Line item,13,1011
13-0000,Business and financial operations occupations,Business operations specialists,13-1000,Buyers and purchasing agents,13-1020,Line item,13,1020
13-0000,Business and financial operations occupations,Business operations specialists,13-1000,"Claims adjusters, appraisers, examiners, and investigators",13-1030,Summary,13,1030
13-0000,Business and financial operations occupations,Business operations specialists,13-1000,"Claims adjusters, examiners, and investigators",13-1031,Line item,13,1031
13-0000,Business and financial operations occupations,Business operations specialists,13-1000,"Insurance appraisers, auto damage",13-1032,Line item,13,1032
13-0000,Business and financial operations occupations,Business operations specialists,13-1000,Compliance officers,13-1041,Line item,13,1041
13-0000,Business and financial operations occupations,Business operations specialists,13-1000,Cost estimators,13-1051,Line item,13,1051
13-0000,Business and financial operations occupations,Business operations specialists,13-1000,Human resources workers,13-1070,Summary,13,1070
13-0000,Business and financial operations occupations,Business operations specialists,13-1000,Human resources specialists,13-1071,Line item,13,1071
13-0000,Business and financial operations occupations,Business operations specialists,13-1000,Farm labor contractors,13-1074,Line item,13,1074
13-0000,Business and financial operations occupations,Business operations specialists,13-1000,Labor relations specialists,13-1075,Line item,13,1075
13-0000,Business and financial operations occupations,Business operations specialists,13-1000,Logisticians,13-1081,Line item,13,1081
13-0000,Business and financial operations occupations,Business operations specialists,13-1000,Management analysts,13-1111,Line item,13,1111
13-0000,Business and financial operations occupations,Business operations specialists,13-1000,"Meeting, convention, and event planners",13-1121,Line item,13,1121
13-0000,Business and financial operations occupations,Business operations specialists,13-1000,Fundraisers,13-1131,Line item,13,1131
13-0000,Business and financial operations occupations,Business operations specialists,13-1000,"Compensation, benefits, and job analysis specialists",13-1141,Line item,13,1141
13-0000,Business and financial operations occupations,Business operations specialists,13-1000,Training and development specialists,13-1151,Line item,13,1151
13-0000,Business and financial operations occupations,Business operations specialists,13-1000,Market research analysts and marketing specialists,13-1161,Line item,13,1161
13-0000,Business and financial operations occupations,Business operations specialists,13-1000,"Project management specialists and business operations specialists, all other",13-1198,Line item,13,1198
23-0000,Legal occupations,Legal support workers,23-2000,Paralegals and legal assistants,23-2011,Line item,23,2011
23-0000,Legal occupations,Legal support workers,23-2000,Miscellaneous legal support workers,23-2090,Summary,23,2090
23-0000,Legal occupations,Legal support workers,23-2000,"Title examiners, abstractors, and searchers",23-2093,Line item,23,2093
23-0000,Legal occupations,Legal support workers,23-2000,"Legal support workers, all other",23-2099,Line item,23,2099
23-0000,Legal occupations,"Lawyers, judges, and related workers",23-1000,Lawyers and judicial law clerks,23-1010,Summary,23,1010
23-0000,Legal occupations,"Lawyers, judges, and related workers",23-1000,Lawyers,23-1011,Line item,23,1011
23-0000,Legal occupations,"Lawyers, judges, and related workers",23-1000,Judicial law clerks,23-1012,Line item,23,1012
23-0000,Legal occupations,"Lawyers, judges, and related workers",23-1000,"Judges, magistrates, and other judicial workers",23-1020,Summary,23,1020
23-0000,Legal occupations,"Lawyers, judges, and related workers",23-1000,"Administrative law judges, adjudicators, and hearing officers",23-1021,Line item,23,1021
23-0000,Legal occupations,"Lawyers, judges, and related workers",23-1000,"Arbitrators, mediators, and conciliators",23-1022,Line item,23,1022
23-0000,Legal occupations,"Lawyers, judges, and related workers",23-1000,"Judges, magistrate judges, and magistrates",23-1023,Line item,23,1023
41-0000,Sales and related occupations,Retail sales workers,41-2000,Cashiers,41-2010,Summary,41,2010
41-0000,Sales and related occupations,Retail sales workers,41-2000,Cashiers,41-2011,Line item,41,2011
41-0000,Sales and related occupations,Retail sales workers,41-2000,Gambling change persons and booth cashiers,41-2012,Line item,41,2012
41-0000,Sales and related occupations,Retail sales workers,41-2000,Counter and rental clerks and parts salespersons,41-2020,Summary,41,2020
41-0000,Sales and related occupations,Retail sales workers,41-2000,Counter and rental clerks,41-2021,Line item,41,2021
41-0000,Sales and related occupations,Retail sales workers,41-2000,Parts salespersons,41-2022,Line item,41,2022
41-0000,Sales and related occupations,Retail sales workers,41-2000,Retail salespersons,41-2031,Line item,41,2031
41-0000,Sales and related occupations,Supervisors of sales workers,41-1000,First-line supervisors of retail sales workers,41-1011,Line item,41,1011
41-0000,Sales and related occupations,Supervisors of sales workers,41-1000,First-line supervisors of non-retail sales workers,41-1012,Line item,41,1012
41-0000,Sales and related occupations,Other sales and related workers,41-9000,"Models, demonstrators, and product promoters",41-9010,Summary,41,9010
41-0000,Sales and related occupations,Other sales and related workers,41-9000,Demonstrators and product promoters,41-9011,Line item,41,9011
41-0000,Sales and related occupations,Other sales and related workers,41-9000,Models,41-9012,Line item,41,9012
41-0000,Sales and related occupations,Other sales and related workers,41-9000,Real estate brokers and sales agents,41-9020,Summary,41,9020
41-0000,Sales and related occupations,Other sales and related workers,41-9000,Real estate brokers,41-9021,Line item,41,9021
41-0000,Sales and related occupations,Other sales and related workers,41-9000,Real estate sales agents,41-9022,Line item,41,9022
